Train Acc.: 0.1241 | Test Acc.: 0.1279
Epoch: 032/200   | Learning Rate 0.001000
Train Auc.: 0.9422 | Test Auc.: 0.9405
Train Loss.: 0.3189 | Test Loss.: 0.3183
Train Acc.: 0.5214 | Test Acc.: 0.5215
Epoch: 033/200   | Learning Rate 0.001000
Train Auc.: 0.9298 | Test Auc.: 0.9275
Train Loss.: 0.1198 | Test Loss.: 0.1220
Train Acc.: 0.8505 | Test Acc.: 0.8445
Epoch: 034/200   | Learning Rate 0.001000
Train Auc.: 0.9147 | Test Auc.: 0.9110
Train Loss.: 0.3020 | Test Loss.: 0.3061
Train Acc.: 0.5539 | Test Acc.: 0.5516
Epoch: 035/200   | Learning Rate 0.001000
Train Auc.: 0.8844 | Test Auc.: 0.8762
Train Loss.: 0.5612 | Test Loss.: 0.5704
Train Acc.: 0.4667 | Test Acc.: 0.4592
Epoch: 036/200   | Learning Rate 0.001000
Train Auc.: 0.8914 | Test Auc.: 0.8840
Train Loss.: 0.6802 | Test Loss.: 0.6918
Train Acc.: 0.4332 | Test Acc.: 0.4307
Epoch: 037/200   | Learning Rate 0.001000
Train Auc.: 0.8682 | Test Auc.: 0.8592
Train Loss.: 0.5317 | Test Loss.: 0.5395
Train Acc.: 0.5010 | Test Acc.: 0.4951
Epoch: 038/200   | Learning Rate 0.001000
Train Auc.: 0.9110 | Test Auc.: 0.9117
Train Loss.: 0.3331 | Test Loss.: 0.3368
Train Acc.: 0.5371 | Test Acc.: 0.5304
Epoch: 039/200   | Learning Rate 0.001000
Train Auc.: 0.9308 | Test Auc.: 0.9290
Train Loss.: 0.1352 | Test Loss.: 0.1377
Train Acc.: 0.8195 | Test Acc.: 0.8152
Epoch: 040/200   | Learning Rate 0.001000
Train Auc.: 0.9376 | Test Auc.: 0.9342
Train Loss.: 0.1633 | Test Loss.: 0.1640
Train Acc.: 0.7573 | Test Acc.: 0.7558
Epoch: 041/200   | Learning Rate 0.001000
Train Auc.: 0.9408 | Test Auc.: 0.9375
Train Loss.: 0.2615 | Test Loss.: 0.2629
Train Acc.: 0.6004 | Test Acc.: 0.6015
Epoch: 042/200   | Learning Rate 0.001000
Train Auc.: 0.9426 | Test Auc.: 0.9400
Train Loss.: 0.4194 | Test Loss.: 0.4188
Train Acc.: 0.4189 | Test Acc.: 0.4241
Epoch: 043/200   | Learning Rate 0.001000
Train Auc.: 0.9421 | Test Auc.: 0.9401
Train Loss.: 0.4013 | Test Loss.: 0.3989
Train Acc.: 0.4239 | Test Acc.: 0.4254
Epoch: 044/200   | Learning Rate 0.001000
Train Auc.: 0.9424 | Test Auc.: 0.9407
Train Loss.: 0.2715 | Test Loss.: 0.2699
Train Acc.: 0.5782 | Test Acc.: 0.5846
Epoch: 045/200   | Learning Rate 0.001000
Train Auc.: 0.9400 | Test Auc.: 0.9374
Train Loss.: 0.1636 | Test Loss.: 0.1646
Train Acc.: 0.7704 | Test Acc.: 0.7690
Epoch: 046/200   | Learning Rate 0.001000
Train Auc.: 0.9279 | Test Auc.: 0.9257
Train Loss.: 0.1356 | Test Loss.: 0.1364
