Epoch: 057/200   | Learning Rate 0.001000
Train Auc.: 0.8158 | Test Auc.: 0.8158
Train Loss.: 0.2478 | Test Loss.: 0.2449
Train Acc.: 0.5213 | Test Acc.: 0.5289
Epoch: 058/200   | Learning Rate 0.001000
Train Auc.: 0.9245 | Test Auc.: 0.9216
Train Loss.: 0.2156 | Test Loss.: 0.2143
Train Acc.: 0.5392 | Test Acc.: 0.5447
Epoch: 059/200   | Learning Rate 0.001000
Train Auc.: 0.9016 | Test Auc.: 0.8992
Train Loss.: 0.2033 | Test Loss.: 0.2028
Train Acc.: 0.6249 | Test Acc.: 0.6248
Epoch: 060/200   | Learning Rate 0.001000
Train Auc.: 0.8661 | Test Auc.: 0.8634
Train Loss.: 0.2164 | Test Loss.: 0.2163
Train Acc.: 0.6985 | Test Acc.: 0.6956
Epoch: 061/200   | Learning Rate 0.001000
Train Auc.: 0.8272 | Test Auc.: 0.8208
Train Loss.: 0.2146 | Test Loss.: 0.2153
Train Acc.: 0.7311 | Test Acc.: 0.7234
Epoch: 062/200   | Learning Rate 0.001000
Train Auc.: 0.8674 | Test Auc.: 0.8614
Train Loss.: 0.2077 | Test Loss.: 0.2097
Train Acc.: 0.6322 | Test Acc.: 0.6303
Epoch: 063/200   | Learning Rate 0.001000
Train Auc.: 0.7715 | Test Auc.: 0.7684
Train Loss.: 0.2835 | Test Loss.: 0.2860
Train Acc.: 0.5032 | Test Acc.: 0.4971
Epoch: 064/200   | Learning Rate 0.001000
Train Auc.: 0.8340 | Test Auc.: 0.8247
Train Loss.: 0.2325 | Test Loss.: 0.2353
Train Acc.: 0.5331 | Test Acc.: 0.5281
Epoch: 065/200   | Learning Rate 0.001000
Train Auc.: 0.8152 | Test Auc.: 0.8032
Train Loss.: 0.2187 | Test Loss.: 0.2214
Train Acc.: 0.6117 | Test Acc.: 0.6095
Epoch: 066/200   | Learning Rate 0.001000
Train Auc.: 0.8573 | Test Auc.: 0.8556
Train Loss.: 0.2088 | Test Loss.: 0.2092
