Train Acc.: 0.0377 | Test Acc.: 0.0372
Epoch: 032/200   | Learning Rate 0.001000
Train Auc.: 0.9071 | Test Auc.: 0.9055
Train Loss.: 0.6813 | Test Loss.: 0.6828
Train Acc.: 0.2838 | Test Acc.: 0.2886
Epoch: 033/200   | Learning Rate 0.001000
Train Auc.: 0.9341 | Test Auc.: 0.9328
Train Loss.: 0.1189 | Test Loss.: 0.1199
Train Acc.: 0.8341 | Test Acc.: 0.8298
Epoch: 034/200   | Learning Rate 0.001000
Train Auc.: 0.9388 | Test Auc.: 0.9367
Train Loss.: 0.3957 | Test Loss.: 0.4006
Train Acc.: 0.4222 | Test Acc.: 0.4253
Epoch: 035/200   | Learning Rate 0.001000
Train Auc.: 0.9428 | Test Auc.: 0.9409
Train Loss.: 0.9014 | Test Loss.: 0.9124
Train Acc.: 0.1208 | Test Acc.: 0.1218
Epoch: 036/200   | Learning Rate 0.001000
Train Auc.: 0.9426 | Test Auc.: 0.9408
Train Loss.: 0.9749 | Test Loss.: 0.9791
Train Acc.: 0.1063 | Test Acc.: 0.1026
Epoch: 037/200   | Learning Rate 0.001000
Train Auc.: 0.9382 | Test Auc.: 0.9364
Train Loss.: 0.5717 | Test Loss.: 0.5753
Train Acc.: 0.2444 | Test Acc.: 0.2443
Epoch: 038/200   | Learning Rate 0.001000
Train Auc.: 0.9325 | Test Auc.: 0.9298
Train Loss.: 0.1501 | Test Loss.: 0.1526
Train Acc.: 0.8058 | Test Acc.: 0.8049
Epoch: 039/200   | Learning Rate 0.001000
Train Auc.: 0.9169 | Test Auc.: 0.9149
Train Loss.: 0.1807 | Test Loss.: 0.1799
Train Acc.: 0.7408 | Test Acc.: 0.7430
Epoch: 040/200   | Learning Rate 0.001000
Train Auc.: 0.9126 | Test Auc.: 0.9064
Train Loss.: 0.3745 | Test Loss.: 0.3783
Train Acc.: 0.5187 | Test Acc.: 0.5160
Epoch: 041/200   | Learning Rate 0.001000
Train Auc.: 0.9058 | Test Auc.: 0.9018
Train Loss.: 0.5541 | Test Loss.: 0.5558
Train Acc.: 0.4305 | Test Acc.: 0.4300
Epoch: 042/200   | Learning Rate 0.001000
Train Auc.: 0.8952 | Test Auc.: 0.8936
Train Loss.: 0.4473 | Test Loss.: 0.4479
Train Acc.: 0.4989 | Test Acc.: 0.4963
Epoch: 043/200   | Learning Rate 0.001000
Train Auc.: 0.9088 | Test Auc.: 0.9027
Train Loss.: 0.2952 | Test Loss.: 0.2973
Train Acc.: 0.5518 | Test Acc.: 0.5493
Epoch: 044/200   | Learning Rate 0.001000
Train Auc.: 0.9285 | Test Auc.: 0.9309
Train Loss.: 0.1486 | Test Loss.: 0.1471
Train Acc.: 0.7852 | Test Acc.: 0.7878
Epoch: 045/200   | Learning Rate 0.001000
Train Auc.: 0.9320 | Test Auc.: 0.9286
Train Loss.: 0.1319 | Test Loss.: 0.1327
Train Acc.: 0.8364 | Test Acc.: 0.8379
Epoch: 046/200   | Learning Rate 0.001000
Train Auc.: 0.9351 | Test Auc.: 0.9345
Train Loss.: 0.2168 | Test Loss.: 0.2173
Train Acc.: 0.6791 | Test Acc.: 0.6840
Epoch: 047/200   | Learning Rate 0.001000
Train Auc.: 0.9391 | Test Auc.: 0.9403
Train Loss.: 0.2869 | Test Loss.: 0.2864
Train Acc.: 0.5811 | Test Acc.: 0.5812
Epoch: 048/200   | Learning Rate 0.001000
Train Auc.: 0.9389 | Test Auc.: 0.9375
Train Loss.: 0.3057 | Test Loss.: 0.3080
Train Acc.: 0.5419 | Test Acc.: 0.5411
Epoch: 049/200   | Learning Rate 0.001000
Train Auc.: 0.9383 | Test Auc.: 0.9355
Train Loss.: 0.2409 | Test Loss.: 0.2421
Train Acc.: 0.6479 | Test Acc.: 0.6510
Epoch: 050/200   | Learning Rate 0.001000
Train Auc.: 0.9392 | Test Auc.: 0.9378
Train Loss.: 0.1564 | Test Loss.: 0.1574
Train Acc.: 0.7950 | Test Acc.: 0.7964
Epoch: 051/200   | Learning Rate 0.001000
Train Auc.: 0.9343 | Test Auc.: 0.9303
Train Loss.: 0.1121 | Test Loss.: 0.1144
Train Acc.: 0.8516 | Test Acc.: 0.8495
Epoch: 052/200   | Learning Rate 0.001000
Train Auc.: 0.9258 | Test Auc.: 0.9230
Train Loss.: 0.1279 | Test Loss.: 0.1283
Train Acc.: 0.8283 | Test Acc.: 0.8314
Epoch: 053/200   | Learning Rate 0.001000
Train Auc.: 0.9292 | Test Auc.: 0.9304
Train Loss.: 0.1679 | Test Loss.: 0.1667
Train Acc.: 0.7587 | Test Acc.: 0.7630
Epoch: 054/200   | Learning Rate 0.001000
Train Auc.: 0.9275 | Test Auc.: 0.9285
Train Loss.: 0.1941 | Test Loss.: 0.1949
Train Acc.: 0.7072 | Test Acc.: 0.7067
Epoch: 055/200   | Learning Rate 0.001000
Train Auc.: 0.9263 | Test Auc.: 0.9292
Train Loss.: 0.1785 | Test Loss.: 0.1766
Train Acc.: 0.7351 | Test Acc.: 0.7407
Epoch: 056/200   | Learning Rate 0.001000
Train Auc.: 0.9264 | Test Auc.: 0.9253
Train Loss.: 0.1766 | Test Loss.: 0.1764
Train Acc.: 0.7547 | Test Acc.: 0.7524
Epoch: 057/200   | Learning Rate 0.001000
