Train Acc.: 0.4644 | Test Acc.: 0.4732
Epoch: 032/200   | Learning Rate 0.001000
Train Auc.: 0.2401 | Test Auc.: 0.2327
Train Loss.: 0.3185 | Test Loss.: 0.3208
Train Acc.: 0.4984 | Test Acc.: 0.4933
Epoch: 033/200   | Learning Rate 0.001000
Train Auc.: 0.1507 | Test Auc.: 0.1523
Train Loss.: 0.3257 | Test Loss.: 0.3261
Train Acc.: 0.4292 | Test Acc.: 0.4299
Epoch: 034/200   | Learning Rate 0.001000
Train Auc.: 0.1043 | Test Auc.: 0.1066
Train Loss.: 0.3223 | Test Loss.: 0.3209
Train Acc.: 0.2071 | Test Acc.: 0.2142
Epoch: 035/200   | Learning Rate 0.001000
Train Auc.: 0.1258 | Test Auc.: 0.1258
Train Loss.: 0.3069 | Test Loss.: 0.3074
Train Acc.: 0.3655 | Test Acc.: 0.3599
Epoch: 036/200   | Learning Rate 0.001000
Train Auc.: 0.1883 | Test Auc.: 0.1940
Train Loss.: 0.2949 | Test Loss.: 0.2929
Train Acc.: 0.3104 | Test Acc.: 0.3140
Epoch: 037/200   | Learning Rate 0.001000
Train Auc.: 0.1099 | Test Auc.: 0.1115
Train Loss.: 0.3023 | Test Loss.: 0.3008
Train Acc.: 0.3883 | Test Acc.: 0.3879
Epoch: 038/200   | Learning Rate 0.001000
Train Auc.: 0.2046 | Test Auc.: 0.1972
Train Loss.: 0.2830 | Test Loss.: 0.2816
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 039/200   | Learning Rate 0.001000
Train Auc.: 0.1002 | Test Auc.: 0.0981
Train Loss.: 0.3124 | Test Loss.: 0.3104
Train Acc.: 0.4923 | Test Acc.: 0.4995
Epoch: 040/200   | Learning Rate 0.001000
Train Auc.: 0.0783 | Test Auc.: 0.0824
Train Loss.: 0.3135 | Test Loss.: 0.3107
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 041/200   | Learning Rate 0.001000
Train Auc.: 0.1108 | Test Auc.: 0.1142
Train Loss.: 0.3279 | Test Loss.: 0.3244
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 042/200   | Learning Rate 0.001000
Train Auc.: 0.1922 | Test Auc.: 0.2048
Train Loss.: 0.3198 | Test Loss.: 0.3158
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 043/200   | Learning Rate 0.001000
Train Auc.: 0.1460 | Test Auc.: 0.1489
Train Loss.: 0.3201 | Test Loss.: 0.3166
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 044/200   | Learning Rate 0.001000
Train Auc.: 0.1635 | Test Auc.: 0.1633
Train Loss.: 0.2958 | Test Loss.: 0.2938
Train Acc.: 0.4946 | Test Acc.: 0.5015
Epoch: 045/200   | Learning Rate 0.001000
Train Auc.: 0.1435 | Test Auc.: 0.1406
Train Loss.: 0.3148 | Test Loss.: 0.3124
Train Acc.: 0.4965 | Test Acc.: 0.5029
Epoch: 046/200   | Learning Rate 0.001000
Train Auc.: 0.2333 | Test Auc.: 0.2214
Train Loss.: 0.2884 | Test Loss.: 0.2876
Train Acc.: 0.4829 | Test Acc.: 0.4903
Epoch: 047/200   | Learning Rate 0.001000
Train Auc.: 0.1623 | Test Auc.: 0.1606
Train Loss.: 0.2880 | Test Loss.: 0.2867
Train Acc.: 0.3701 | Test Acc.: 0.3759
Epoch: 048/200   | Learning Rate 0.001000
Train Auc.: 0.1909 | Test Auc.: 0.1880
Train Loss.: 0.2905 | Test Loss.: 0.2895
Train Acc.: 0.4237 | Test Acc.: 0.4307
Epoch: 049/200   | Learning Rate 0.001000
Train Auc.: 0.0930 | Test Auc.: 0.0951
Train Loss.: 0.3208 | Test Loss.: 0.3178
Train Acc.: 0.4962 | Test Acc.: 0.5027
Epoch: 050/200   | Learning Rate 0.001000
Train Auc.: 0.1922 | Test Auc.: 0.1895
Train Loss.: 0.2827 | Test Loss.: 0.2827
Train Acc.: 0.3778 | Test Acc.: 0.3744
Epoch: 051/200   | Learning Rate 0.001000
Train Auc.: 0.1656 | Test Auc.: 0.1630
Train Loss.: 0.2838 | Test Loss.: 0.2830
Train Acc.: 0.2455 | Test Acc.: 0.2440
Epoch: 052/200   | Learning Rate 0.001000
Train Auc.: 0.1660 | Test Auc.: 0.1685
Train Loss.: 0.2881 | Test Loss.: 0.2868
Train Acc.: 0.2994 | Test Acc.: 0.3071
Epoch: 053/200   | Learning Rate 0.001000
Train Auc.: 0.1772 | Test Auc.: 0.1701
Train Loss.: 0.2930 | Test Loss.: 0.2932
Train Acc.: 0.2969 | Test Acc.: 0.2974
Epoch: 054/200   | Learning Rate 0.001000
Train Auc.: 0.1737 | Test Auc.: 0.1760
Train Loss.: 0.2896 | Test Loss.: 0.2879
Train Acc.: 0.3890 | Test Acc.: 0.3992
Epoch: 055/200   | Learning Rate 0.001000
Train Auc.: 0.1689 | Test Auc.: 0.1695
Train Loss.: 0.2993 | Test Loss.: 0.2983
Train Acc.: 0.2780 | Test Acc.: 0.2726
Epoch: 056/200   | Learning Rate 0.001000
Train Auc.: 0.1632 | Test Auc.: 0.1608
Train Loss.: 0.2921 | Test Loss.: 0.2905
Train Acc.: 0.4926 | Test Acc.: 0.5001
Epoch: 057/200   | Learning Rate 0.001000
Train Auc.: 0.2668 | Test Auc.: 0.2611
Train Loss.: 0.2710 | Test Loss.: 0.2703
Train Acc.: 0.3713 | Test Acc.: 0.3746
Epoch: 058/200   | Learning Rate 0.001000
Train Auc.: 0.5797 | Test Auc.: 0.5827
Train Loss.: 0.2630 | Test Loss.: 0.2642
Train Acc.: 0.5036 | Test Acc.: 0.4976
Epoch: 059/200   | Learning Rate 0.001000
Train Auc.: 0.3757 | Test Auc.: 0.3663
Train Loss.: 0.2622 | Test Loss.: 0.2625
Train Acc.: 0.4124 | Test Acc.: 0.4134
Epoch: 060/200   | Learning Rate 0.001000
Train Auc.: 0.1341 | Test Auc.: 0.1362
Train Loss.: 0.3123 | Test Loss.: 0.3097
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 061/200   | Learning Rate 0.001000
Train Auc.: 0.3214 | Test Auc.: 0.3184
Train Loss.: 0.2811 | Test Loss.: 0.2796
Train Acc.: 0.4791 | Test Acc.: 0.4860
Epoch: 062/200   | Learning Rate 0.001000
Train Auc.: 0.4832 | Test Auc.: 0.4727
Train Loss.: 0.2635 | Test Loss.: 0.2627
Train Acc.: 0.4910 | Test Acc.: 0.4993
Epoch: 063/200   | Learning Rate 0.001000
Train Auc.: 0.3848 | Test Auc.: 0.3791
Train Loss.: 0.2636 | Test Loss.: 0.2627
Train Acc.: 0.4759 | Test Acc.: 0.4856
Epoch: 064/200   | Learning Rate 0.001000
Train Auc.: 0.4056 | Test Auc.: 0.3929
Train Loss.: 0.2853 | Test Loss.: 0.2838
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 065/200   | Learning Rate 0.001000
Train Auc.: 0.4216 | Test Auc.: 0.4287
Train Loss.: 0.2624 | Test Loss.: 0.2612
Train Acc.: 0.4870 | Test Acc.: 0.4904
Epoch: 066/200   | Learning Rate 0.001000
Train Auc.: 0.6112 | Test Auc.: 0.6128
Train Loss.: 0.2519 | Test Loss.: 0.2509
Train Acc.: 0.5038 | Test Acc.: 0.5075
Epoch: 067/200   | Learning Rate 0.001000
Train Auc.: 0.5670 | Test Auc.: 0.5698
Train Loss.: 0.2494 | Test Loss.: 0.2498
Train Acc.: 0.5427 | Test Acc.: 0.5390
Epoch: 068/200   | Learning Rate 0.001000
Train Auc.: 0.6604 | Test Auc.: 0.6592
Train Loss.: 0.2786 | Test Loss.: 0.2767
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 069/200   | Learning Rate 0.001000
Train Auc.: 0.6410 | Test Auc.: 0.6412
Train Loss.: 0.2621 | Test Loss.: 0.2606
Train Acc.: 0.4970 | Test Acc.: 0.5032
Epoch: 070/200   | Learning Rate 0.001000
Train Auc.: 0.7044 | Test Auc.: 0.6945
Train Loss.: 0.2618 | Test Loss.: 0.2606
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 071/200   | Learning Rate 0.001000
Train Auc.: 0.5723 | Test Auc.: 0.5740
Train Loss.: 0.2543 | Test Loss.: 0.2552
Train Acc.: 0.5319 | Test Acc.: 0.5284
Epoch: 072/200   | Learning Rate 0.001000
Train Auc.: 0.7045 | Test Auc.: 0.6936
Train Loss.: 0.2365 | Test Loss.: 0.2374
Train Acc.: 0.5892 | Test Acc.: 0.5912
Epoch: 073/200   | Learning Rate 0.001000
Train Auc.: 0.7686 | Test Auc.: 0.7682
Train Loss.: 0.2257 | Test Loss.: 0.2254
Train Acc.: 0.6324 | Test Acc.: 0.6373
Epoch: 074/200   | Learning Rate 0.001000
Train Auc.: 0.5165 | Test Auc.: 0.5152
Train Loss.: 0.2517 | Test Loss.: 0.2521
Train Acc.: 0.5107 | Test Acc.: 0.5142
Epoch: 075/200   | Learning Rate 0.001000
Train Auc.: 0.5130 | Test Auc.: 0.5258
Train Loss.: 0.2575 | Test Loss.: 0.2561
Train Acc.: 0.5136 | Test Acc.: 0.5162
Epoch: 076/200   | Learning Rate 0.001000
Train Auc.: 0.7669 | Test Auc.: 0.7761
Train Loss.: 0.2226 | Test Loss.: 0.2220
Train Acc.: 0.6937 | Test Acc.: 0.7064
Epoch: 077/200   | Learning Rate 0.001000
Train Auc.: 0.7154 | Test Auc.: 0.7085
Train Loss.: 0.2398 | Test Loss.: 0.2395
Train Acc.: 0.5439 | Test Acc.: 0.5475
Epoch: 078/200   | Learning Rate 0.001000
Train Auc.: 0.8374 | Test Auc.: 0.8375
Train Loss.: 0.2256 | Test Loss.: 0.2241
Train Acc.: 0.5549 | Test Acc.: 0.5619
Epoch: 079/200   | Learning Rate 0.001000
Train Auc.: 0.8392 | Test Auc.: 0.8343
Train Loss.: 0.2256 | Test Loss.: 0.2253
Train Acc.: 0.5547 | Test Acc.: 0.5573
Epoch: 080/200   | Learning Rate 0.001000
Train Auc.: 0.8273 | Test Auc.: 0.8264
Train Loss.: 0.2079 | Test Loss.: 0.2084
Train Acc.: 0.7342 | Test Acc.: 0.7356
Epoch: 081/200   | Learning Rate 0.001000
Train Auc.: 0.8924 | Test Auc.: 0.8828
Train Loss.: 0.2398 | Test Loss.: 0.2394
Train Acc.: 0.5034 | Test Acc.: 0.5103
Epoch: 082/200   | Learning Rate 0.001000
Train Auc.: 0.7539 | Test Auc.: 0.7518
Train Loss.: 0.2390 | Test Loss.: 0.2382
Train Acc.: 0.5276 | Test Acc.: 0.5348
Epoch: 083/200   | Learning Rate 0.001000
Train Auc.: 0.6175 | Test Auc.: 0.6226
Train Loss.: 0.2403 | Test Loss.: 0.2402
Train Acc.: 0.5840 | Test Acc.: 0.5859
Epoch: 084/200   | Learning Rate 0.001000
Train Auc.: 0.6587 | Test Auc.: 0.6611
Train Loss.: 0.2446 | Test Loss.: 0.2434
Train Acc.: 0.5348 | Test Acc.: 0.5432
Epoch: 085/200   | Learning Rate 0.001000
Train Auc.: 0.8689 | Test Auc.: 0.8649
Train Loss.: 0.1920 | Test Loss.: 0.1926
Train Acc.: 0.6922 | Test Acc.: 0.6908
Epoch: 086/200   | Learning Rate 0.001000
Train Auc.: 0.8872 | Test Auc.: 0.8740
Train Loss.: 0.2125 | Test Loss.: 0.2137
Train Acc.: 0.5966 | Test Acc.: 0.6011
Epoch: 087/200   | Learning Rate 0.001000
Train Auc.: 0.6314 | Test Auc.: 0.6213
Train Loss.: 0.2392 | Test Loss.: 0.2413
Train Acc.: 0.5963 | Test Acc.: 0.5843
Epoch: 088/200   | Learning Rate 0.001000
Train Auc.: 0.8396 | Test Auc.: 0.8341
Train Loss.: 0.1955 | Test Loss.: 0.1985
Train Acc.: 0.7001 | Test Acc.: 0.6922
Epoch: 089/200   | Learning Rate 0.001000
Train Auc.: 0.8299 | Test Auc.: 0.8237
Train Loss.: 0.2196 | Test Loss.: 0.2194
Train Acc.: 0.5849 | Test Acc.: 0.5863
Epoch: 090/200   | Learning Rate 0.001000
Train Auc.: 0.8713 | Test Auc.: 0.8670
Train Loss.: 0.1753 | Test Loss.: 0.1770
Train Acc.: 0.7900 | Test Acc.: 0.7896
Epoch: 091/200   | Learning Rate 0.001000
Train Auc.: 0.6631 | Test Auc.: 0.6598
Train Loss.: 0.2317 | Test Loss.: 0.2328
Train Acc.: 0.6231 | Test Acc.: 0.6284
Epoch: 092/200   | Learning Rate 0.001000
Train Auc.: 0.7590 | Test Auc.: 0.7468
Train Loss.: 0.2068 | Test Loss.: 0.2105
Train Acc.: 0.6945 | Test Acc.: 0.6827
Epoch: 093/200   | Learning Rate 0.001000
Train Auc.: 0.8539 | Test Auc.: 0.8551
Train Loss.: 0.1765 | Test Loss.: 0.1767
Train Acc.: 0.7752 | Test Acc.: 0.7740
Epoch: 094/200   | Learning Rate 0.001000
Train Auc.: 0.8548 | Test Auc.: 0.8514
Train Loss.: 0.1840 | Test Loss.: 0.1846
Train Acc.: 0.7315 | Test Acc.: 0.7290
Epoch: 095/200   | Learning Rate 0.001000
Train Auc.: 0.8455 | Test Auc.: 0.8396
Train Loss.: 0.1775 | Test Loss.: 0.1787
Train Acc.: 0.7366 | Test Acc.: 0.7320
Epoch: 096/200   | Learning Rate 0.001000
Train Auc.: 0.8683 | Test Auc.: 0.8653
Train Loss.: 0.1760 | Test Loss.: 0.1758
Train Acc.: 0.7378 | Test Acc.: 0.7344
Epoch: 097/200   | Learning Rate 0.001000
Train Auc.: 0.7696 | Test Auc.: 0.7592
Train Loss.: 0.2051 | Test Loss.: 0.2079
Train Acc.: 0.6832 | Test Acc.: 0.6771
Epoch: 098/200   | Learning Rate 0.001000
Train Auc.: 0.9015 | Test Auc.: 0.8945
Train Loss.: 0.1781 | Test Loss.: 0.1810
Train Acc.: 0.7356 | Test Acc.: 0.7289
Epoch: 099/200   | Learning Rate 0.001000
Train Auc.: 0.7789 | Test Auc.: 0.7722
Train Loss.: 0.2202 | Test Loss.: 0.2207
Train Acc.: 0.6278 | Test Acc.: 0.6234
Epoch: 100/200   | Learning Rate 0.001000
Train Auc.: 0.8236 | Test Auc.: 0.8155
Train Loss.: 0.1765 | Test Loss.: 0.1803
Train Acc.: 0.7476 | Test Acc.: 0.7394
Epoch: 101/200   | Learning Rate 0.000900
Train Auc.: 0.8190 | Test Auc.: 0.8103
Train Loss.: 0.1842 | Test Loss.: 0.1891
Train Acc.: 0.7363 | Test Acc.: 0.7244
Epoch: 102/200   | Learning Rate 0.000900
Train Auc.: 0.7092 | Test Auc.: 0.7038
Train Loss.: 0.2194 | Test Loss.: 0.2212
Train Acc.: 0.6540 | Test Acc.: 0.6484
Epoch: 103/200   | Learning Rate 0.000900
Train Auc.: 0.8821 | Test Auc.: 0.8774
Train Loss.: 0.1805 | Test Loss.: 0.1816
Train Acc.: 0.7382 | Test Acc.: 0.7317
Epoch: 104/200   | Learning Rate 0.000900
Train Auc.: 0.9087 | Test Auc.: 0.9040
Train Loss.: 0.1309 | Test Loss.: 0.1344
Train Acc.: 0.8285 | Test Acc.: 0.8180
Epoch: 105/200   | Learning Rate 0.000900
Train Auc.: 0.8339 | Test Auc.: 0.8313
Train Loss.: 0.1919 | Test Loss.: 0.1951
Train Acc.: 0.7270 | Test Acc.: 0.7204
Epoch: 106/200   | Learning Rate 0.000900
Train Auc.: 0.7005 | Test Auc.: 0.6954
Train Loss.: 0.2332 | Test Loss.: 0.2344
Train Acc.: 0.6411 | Test Acc.: 0.6420
Epoch: 107/200   | Learning Rate 0.000900
Train Auc.: 0.9370 | Test Auc.: 0.9342
Train Loss.: 0.3805 | Test Loss.: 0.3807
Train Acc.: 0.4922 | Test Acc.: 0.4870
Epoch: 108/200   | Learning Rate 0.000900
Train Auc.: 0.8760 | Test Auc.: 0.8763
Train Loss.: 0.1500 | Test Loss.: 0.1493
Train Acc.: 0.7950 | Test Acc.: 0.7944
Epoch: 109/200   | Learning Rate 0.000900
Train Auc.: 0.8545 | Test Auc.: 0.8557
Train Loss.: 0.1648 | Test Loss.: 0.1658
Train Acc.: 0.7737 | Test Acc.: 0.7715
Epoch: 110/200   | Learning Rate 0.000900
Train Auc.: 0.6695 | Test Auc.: 0.6687
Train Loss.: 0.5793 | Test Loss.: 0.5780
Train Acc.: 0.4808 | Test Acc.: 0.4750
Epoch: 111/200   | Learning Rate 0.000900
Train Auc.: 0.9260 | Test Auc.: 0.9220
Train Loss.: 0.2049 | Test Loss.: 0.2050
Train Acc.: 0.7110 | Test Acc.: 0.7066
Epoch: 112/200   | Learning Rate 0.000900
Train Auc.: 0.8735 | Test Auc.: 0.8707
Train Loss.: 0.1528 | Test Loss.: 0.1544
Train Acc.: 0.7834 | Test Acc.: 0.7774
Epoch: 113/200   | Learning Rate 0.000900
Train Auc.: 0.8812 | Test Auc.: 0.8771
Train Loss.: 0.1638 | Test Loss.: 0.1643
Train Acc.: 0.7616 | Test Acc.: 0.7599
Epoch: 114/200   | Learning Rate 0.000900
Train Auc.: 0.7539 | Test Auc.: 0.7459
Train Loss.: 0.2213 | Test Loss.: 0.2222
Train Acc.: 0.6530 | Test Acc.: 0.6486
Epoch: 115/200   | Learning Rate 0.000900
Train Auc.: 0.8942 | Test Auc.: 0.8887
Train Loss.: 0.2223 | Test Loss.: 0.2222
Train Acc.: 0.6198 | Test Acc.: 0.6211
Epoch: 116/200   | Learning Rate 0.000900
Train Auc.: 0.9007 | Test Auc.: 0.9044
Train Loss.: 0.1700 | Test Loss.: 0.1668
Train Acc.: 0.7469 | Test Acc.: 0.7516
Epoch: 117/200   | Learning Rate 0.000900
Train Auc.: 0.7733 | Test Auc.: 0.7728
Train Loss.: 0.2028 | Test Loss.: 0.2021
Train Acc.: 0.6868 | Test Acc.: 0.6831
Epoch: 118/200   | Learning Rate 0.000900
Train Auc.: 0.8860 | Test Auc.: 0.8869
Train Loss.: 0.1700 | Test Loss.: 0.1679
Train Acc.: 0.7421 | Test Acc.: 0.7468
Epoch: 119/200   | Learning Rate 0.000900
Train Auc.: 0.9006 | Test Auc.: 0.8960
Train Loss.: 0.1561 | Test Loss.: 0.1574
Train Acc.: 0.7764 | Test Acc.: 0.7741
Epoch: 120/200   | Learning Rate 0.000900
Train Auc.: 0.8573 | Test Auc.: 0.8478
Train Loss.: 0.1684 | Test Loss.: 0.1721
Train Acc.: 0.7769 | Test Acc.: 0.7670
Epoch: 121/200   | Learning Rate 0.000900
Train Auc.: 0.6487 | Test Auc.: 0.6420
Train Loss.: 0.3181 | Test Loss.: 0.3194
Train Acc.: 0.5464 | Test Acc.: 0.5399
Epoch: 122/200   | Learning Rate 0.000900
Train Auc.: 0.7041 | Test Auc.: 0.7069
Train Loss.: 0.2762 | Test Loss.: 0.2781
Train Acc.: 0.5559 | Test Acc.: 0.5485
Epoch: 123/200   | Learning Rate 0.000900
Train Auc.: 0.8238 | Test Auc.: 0.8219
Train Loss.: 0.1833 | Test Loss.: 0.1851
Train Acc.: 0.7500 | Test Acc.: 0.7469
Epoch: 124/200   | Learning Rate 0.000900
Train Auc.: 0.7881 | Test Auc.: 0.7832
Train Loss.: 0.1958 | Test Loss.: 0.1971
Train Acc.: 0.7087 | Test Acc.: 0.7007
Epoch: 125/200   | Learning Rate 0.000900
Train Auc.: 0.8210 | Test Auc.: 0.8214
Train Loss.: 0.1875 | Test Loss.: 0.1888
Train Acc.: 0.7436 | Test Acc.: 0.7386
Epoch: 126/200   | Learning Rate 0.000900
Train Auc.: 0.9198 | Test Auc.: 0.9173
Train Loss.: 0.1849 | Test Loss.: 0.1862
Train Acc.: 0.7205 | Test Acc.: 0.7133
Epoch: 127/200   | Learning Rate 0.000900
Train Auc.: 0.8110 | Test Auc.: 0.8037
Train Loss.: 0.1936 | Test Loss.: 0.1952
Train Acc.: 0.7121 | Test Acc.: 0.7104
Epoch: 128/200   | Learning Rate 0.000900
Train Auc.: 0.9060 | Test Auc.: 0.9054
Train Loss.: 0.2018 | Test Loss.: 0.2004
Train Acc.: 0.6043 | Test Acc.: 0.6119
Epoch: 129/200   | Learning Rate 0.000900
Train Auc.: 0.8877 | Test Auc.: 0.8825
Train Loss.: 0.1525 | Test Loss.: 0.1548
Train Acc.: 0.8052 | Test Acc.: 0.7982
Epoch: 130/200   | Learning Rate 0.000900
Train Auc.: 0.7037 | Test Auc.: 0.7004
Train Loss.: 0.2257 | Test Loss.: 0.2258
Train Acc.: 0.6377 | Test Acc.: 0.6380
Epoch: 131/200   | Learning Rate 0.000900
Train Auc.: 0.8708 | Test Auc.: 0.8659
Train Loss.: 0.1814 | Test Loss.: 0.1823
Train Acc.: 0.7185 | Test Acc.: 0.7149
Epoch: 132/200   | Learning Rate 0.000900
Train Auc.: 0.7417 | Test Auc.: 0.7355
Train Loss.: 0.2072 | Test Loss.: 0.2094
Train Acc.: 0.6744 | Test Acc.: 0.6743
Epoch: 133/200   | Learning Rate 0.000900
Train Auc.: 0.8429 | Test Auc.: 0.8363
Train Loss.: 0.1812 | Test Loss.: 0.1833
Train Acc.: 0.7365 | Test Acc.: 0.7328
Epoch: 134/200   | Learning Rate 0.000900
Train Auc.: 0.9085 | Test Auc.: 0.9078
